那我去了解一下桑德拉布洛克	不认识桑德拉布洛克啊。被网友评论女神级人也是非常受关注女明星。那我去了解一下。
那你知道红楼梦的作者是谁吗	你知道红楼梦吗。满纸荒唐言一把辛酸泪都云作者痴谁解其中味。那你知道它的作者是谁吗。
我惹女朋友了骂女朋友了女朋友还打我了	我女朋友生气了。怎么惹着她的？。我惹他了骂他了他还打我了。
蝴蝶公墓我已经看过了确实很不错	嗯嗯我就是喜欢爱情类的电影。这部电影叫蝴蝶公墓导演是马伟豪。这部电影我已经看过了确实很不错。
但是他不爱我	因为我喜欢他。喜欢，喷嚏，赘肉都是藏不住的。爱要大声说出来！。但是他不爱我。
黄磊可是女生心中的理想型对象	近期也参与了向往的生活。是了黄小厨就是他他就是黄磊知道你猜出来了。他可是女生心中的理想型对象。
于连是个怎么样的人	你知道红与黑吗。于连这个角色在今天很有代表性。他是个怎么样的人。
我看着广州有太阳吖是大晴天	广州会不会下雪。今天会不会下雨呀。我看着有太阳吖是大晴天。
我跟我哥没有好事	我被我哥打了。这么倒霉的话之后可能会有好事哦。我跟他没有好事。
介绍杨庭伟给你认识	杨庭伟认识吗。不认识。介绍给你认识。
她不好看	那以前你们是什么关系。小布是颜控只和长得好看的人有关系。她不好看。
赵子琪是北京人我看过赵子琪演的一部电影	赵子琪曾获得中国电视艺术双十佳演员奖。是一个很优秀的女明星。她是北京人我看过她演的一部电影。
想买一个路由器	我想买个路由器。路由器哪家强。想买一个。
我胆结石不严重 还没吃药	我胆结石怎么办。严重吗吃药了没有。不严重 还没吃。
晚安晚安今天我来猴子领到他承认	嗯这个。嗯哪个。晚安晚安今天我来猴子领到他承认。
那你帮我打电话给他吧	在做了。可我也有不知道的事情啊。那你帮我打电话给他吧。
养过猫	哦哦谢谢我喜欢猫。嗯有养过么。养过。
很喜欢王耀庆演技相当不错的	不知道你能告诉我吗。是演小爸爸剧中的那个泰勒的扮演者他的名字叫王耀庆很不错的演员。很喜欢他演技相当不错的。
肉食者是christopherdillonquinn导演的一部纪录片	另外他还有一部电影肉食者口碑不好但是我觉得还不错。是吗这两部的导演应该不是一个人把。这部电影是christopherdillonquinn导演的一部纪录片。
不喜欢张亮	你有多了解我。反正我知道你挺喜欢 张亮哒。不喜欢他。
剧情片什么名字啊	我听身边朋友说过这部电影他们也说挺好看的有机会一定去看看。嗯嗯还有一部剧情片推荐给你吧。什么名字啊。
虎胆龙威5的主演很优秀身高185cm	虎胆龙威5你有看过吗。看过。这部电影的主演很优秀身高185cm。
金银园小区1栋3单元1301号就是全地址	在金银园小区1栋3单元1301号。全地址。这就是全地址。
你跟马化腾熟吗	马化腾你造吗。腾讯创始人嘛牛人一个。你跟他熟吗。
嗯嗯那确实很厉害了有时间我会去了解回来的福丹芝	嗯我没有呀。她是韩国的女演员她还演过回来的福丹芝呢推荐你看一下。嗯嗯那确实很厉害了有时间我会去了解。
你奶奶	你奶奶叫什么名字。我是Breeno，你可以叫我小布。他。
和她共度余生的一生充满了期待啊	什么是爱情。一想到能和他共度余生你就对余生充满了期待。和她共度余生的一生充满了期待啊。
我思念了儿子	我思念了儿子。想谁就去见不然他会一直打喷嚏。我思念了。
我知道是你走进约翰凯泽尔我知道原来约翰凯泽尔曾经是梅丽尔斯特里普的恋人真幸福	你最近看了什么电影。看了一部叫做我知道是你走进约翰凯泽尔。这个我知道原来曾经是梅丽尔斯特里普的恋人真幸福。
不可触碰不可触碰很有喜感	近期很多人看了这部电影是5年前上映的口碑不错。什么电影可以告诉我吗。不可触碰这部影片很有喜感。
钱正昊真的和梁静茹在一起了吗	以后叫我钱正昊老公。追星真好，还可以做梦。实不相瞒，你是第五百个对小布说是钱正昊的丈夫的。。他真的和梁静茹在一起了吗。
是啊电影电视剧都有angelababy的身影angelababy演技越来越好啦	这个吗各有各的风格不好说。我就喜欢黄晓明他老婆angelababy现在很火哦。是啊电影电视剧都有她的身影演技越来越好啦。
奶奶一年级口碑不错的还有一部2014年上映的星际穿越星际穿越是一部很高质量的电影	奶奶一年级很不错。好的我会看的。口碑不错的还有一部2014年上映的星际穿越是一部很高质量的电影。
克里斯布朗好厉害啊	克里斯布朗唱歌应该很好听吧。他的作品今年圣诞节获得了第17届mtv电影奖最具突破表演提名呢。好厉害啊。
嗯嗯是啊星际牛仔天国之扉是渡边信一郎导演的哦	叫做星际牛仔天国之扉。抽时间我也去看我很喜欢看动画片的。嗯嗯是啊是渡边信一郎导演的哦。
迈阿密情事的名字还不错应该值得一看	好的是什么电影。电影叫迈阿密情事伯特雷诺兹主演的。这个名字还不错应该值得一看。
对啊不过旧的电影我没打算看了准备去看日向朝子的新片	日向朝子导演的电影大多数都很感人呢。他好像拍过很多著名的电影一时想不起来。对啊不过旧的我没打算看了准备去看他的新片。
父女情深是一部怎样的电影啊父女情深好看吗	好的我一定去看。嗯嗯还有一部口碑很不错的电影叫做父女情深也值得一看哦。这是一部怎样的电影啊好看吗。
扬琴现状如何	扬琴的成熟时间。扬琴的成熟时间：扬琴在中国已经流传和演化了四百多年了。在这期间，中国的乐器制作家研制出了不少扬琴的新品种，比如像高低音扬琴、转调扬琴、筝扬琴和电声扬琴等。。现状如何。
问刘权天是谁	刘权天是谁。怎么了。问他是谁。
二里河爱情小镇在青岛胶州	二里河爱情小镇。厦门吗。在青岛胶州。
你看过莫言的书吗	你知道莫言吗。莫言的资料。你看过他的书吗。
同桌总喜欢在我身后贴小乌龟画像	给你讲小时候我有个同桌超幼稚。讲讲。他总喜欢在我身后贴小乌龟画像。
布兰特妮丹尼尔布兰特妮丹尼尔还有一部作品叫费城永远阳光灿烂第1季也非常好看你可以去看一下	这部电影里面有位主演和你一样是金牛座的我很喜欢她。这么巧谁啊。布兰特妮丹尼尔她还有一部作品叫费城永远阳光灿烂第1季也非常好看你可以去看一下。
不是老片的人间喜剧今年将会上映的电影	我也是啊应该不好找了那帮我找一下人间喜剧的资料吧。也是老片吗。不是的今年将会上映的电影。
蒂尔达斯文顿主演的电影叫什么名字啊	我会关注蒂尔达斯文顿的。她还主演了一部电影时长170分钟呢很好看。叫什么名字啊。
吴君如作为一位1965年的出生的老演员演技也是炉火纯青了	你知道主演是谁吗就是主持星星同学会的吴君如啊我超喜欢她的。我知道她她的电影都很搞笑她简直就是为搞笑而生的。作为一位1965年的出生的老演员演技也是炉火纯青了。
你知道庄文强的挺详细啊	哦我记得了庄文强导的。是的庄文强祖籍是中国香港的非常的有才华。你知道的挺详细啊。
他会呢一个点那你怎么点	然后下面那一个。下面啥到底是什么。他会呢一个点那你怎么点。
说看就看千万不能错过wildplants	wildplants好像是新片呢。就是前年刚上映的。说看就看千万不能错过。
接龙好玩吗	玩接龙吗。怎么玩。好玩吗。
让老公回让老公下班以后回来买鸡蛋	给我老公发个短信。你要发送什么内容？。让他回让他下班以后回来买鸡蛋。
优秀的配音演员谁啊	好的有时间看一下。超喜欢一位优秀的配音演员他和你一样都是o型血的。谁啊。
谢谢你的推荐但我不喜欢西部世界	喜欢刺激冒险的。由埃文蕾切尔伍德主演的西部世界第一季很刺激去看一下吧。谢谢你的推荐但我不喜欢这类。
鹿晗帅吗	鹿晗。鹿晗就是听了他重启专辑的歌我才从三年路人黑转粉从不存华语歌的我却花钱买了实体专辑良心品质没的说。他帅吗。
马克吐温写过哪些书	你知道马克吐温吗。突然犯困了。他写过哪些书。
澪怎么读嘛	澪这个字怎么读那我该固定取什么小名呢。最复杂的汉字。怎么读嘛。
竹原青应该是个大美女吧	有空我也看看。这部电影的主演是竹原青而且跟你一样都是巨蟹座的哦。这应该是个大美女吧。
你不是跟他一起	你说实话干嘛这样。我这么可爱怎么舍得说我呀。你不是跟他一起。
看功夫四侠的名字还行我去看看	想看是什么爷爷带着三个孙子游山玩水的电影。叫功夫四侠不过口碑很差。看名字还行我去看看。
仙女是我	仙女。仙女是谁。我。
石胜文是傻逼	给石胜文发了短信。你要发送什么内容。他是傻逼。
宫崎骏的动漫很好看	你知道宫崎骏吗。好了换个话题或玩个游戏。他的动漫很好看。
哈哈我看过泰坦尼克号呢泰坦尼克号讲的是浪漫唯美的爱情故事	我也看过了就像你说的确实挺不错。嗯嗯还有一部电影泰坦尼克号也很不错呢。哈哈我看过呢讲的是浪漫唯美的爱情故事。
嗯嗯已经看过哈维的最后机会了达斯汀霍夫曼的演技不错	爱情电影。那我推荐你看哈维的最后机会。嗯嗯已经看过了达斯汀霍夫曼的演技不错。
他说他忘不了他的前女友	可我不喜欢喝水。不喝也要喝。他说他忘不了他的前女友。
小鼓的成熟时间	琵琶的成熟时间。琵琶的成熟时间：唐代。。小鼓呢。
毒液致命守护者的主演是米歇尔威廉姆斯而且米歇尔威廉姆斯唱歌也是不错的哦	名字叫毒液致命守护者。口碑太差我也不想去看的。这部剧的主演是米歇尔威廉姆斯而且唱歌也是不错的哦。
娃娃他奶	拨打电话。你要打给谁呢？。娃娃他奶。
请问下小仓优子火起来是因为什么	什么是小仓优子语言。不管白猫黑猫，能让大家开心的就是好猫。小仓优子的语言掀起了讨论热潮，那她的作品《新参者》也关注一下呢？。请问下他火起来是因为什么。
那你一定看过酷伯传奇虽然酷伯传奇是一部老电影但是酷伯传奇很好看	喜欢看美国电影吗。非常喜欢。那你一定看过酷伯传奇虽然是一部老电影但是很好看。
明日的我与昨日的你约会上映时间	明日的我与昨日的你约会的剧情讲下。小布剧透一时爽，一直剧透一直爽，《明日的我与昨日的你约会》讲述了京都美术大学学生南山高寿对神秘女子福寿爱美一见钟情并开始交往的故事。。上映时间。
想他的心就像玻璃碎片	我哦我明白。除了自渡他人爱莫能助想通就好啦。想他的心就像玻璃碎片。
